Source       Instrument     DateTime                Stat          Bid              Ask               BookBid                                                    BookAsk
[TSTJ.csv]   TST.J          06/12/2018 07:17:18     Continuous    Bid{902,8115}    Ask{1025,991050}  BookBid{902,6115;901,27013;899,71013;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:14:07.276   2             Bid{894,33115}   Ask{1025,991050}  BookBid{894,33115;893,71013;850,2400;750,26013;105,15013}  BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:17:43     Continuous    Bid{903,71013}   Ask{1025,991050}  BookBid{902,8115;901,25013;899,71013;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:14:07.418   2             Bid{895,25013}   Ask{1025,991050}  BookBid{895,25013;894,8115;893,71013;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:17:43     Continuous    Bid{903,73013}   Ask{1025,991050}  BookBid{903,71013;902,8115;901,25013;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:14:07.576   2             Bid{895,27013}   Ask{1025,991050}  BookBid{895,27013;894,6115;893,71013;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:18:13     Continuous    Bid{904,6115}    Ask{1025,991050}  BookBid{903,73013;901,25013;850,2400;750,26013;105,15013}  BookAsk{1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:14:10.437   2             Bid{895,27013}   Ask{1025,991050}  BookBid{895,27013;893,71013;850,2400;750,26013;105,15013}  BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:18:13     Continuous    Bid{904,8115}    Ask{1025,991050}  BookBid{904,6115;903,73013;901,25013;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:14:10.453   2             Bid{896,6115}    Ask{1025,991050}  BookBid{896,6115;895,27013;893,71013;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:18:39     Continuous    Bid{904,8115}    Ask{1000,5353}    BookBid{904,8115;903,71013;901,25013;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:14:10.614   2             Bid{896,8115}    Ask{1025,991050}  BookBid{896,8115;895,25013;893,71013;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:18:39     Continuous    Bid{904,8115}    Ask{1000,7353}    BookBid{904,8115;903,71013;901,25013;850,2400;750,26013}   BookAsk{1000,5353;1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:14:13.511   2             Bid{896,33115}   Ask{1025,991050}  BookBid{896,33115;893,71013;850,2400;750,26013;105,15013}  BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:18:59     Continuous    Bid{904,8115}    Ask{1000,2000}    BookBid{904,8115;903,71013;901,25013;850,2400;750,26013}   BookAsk{1000,7353;1025,989050;1040,19919;1050,6013}
